Radius_km	Time_Myr	Dynamo_start_Myr	Dynamo_duration_Myr
399	1.3960416	4.9453082	11.324032
249	1.5705152	4.4470339	2.0087471
323	0.60106921	4.7163048	6.1629744
190	2.0817292	5.0326738	0.1967597
243	1.296994	4.4231873	1.649713
61	1.3831605	0	0
231	1.2043785	4.3694277	0.85489845
294	1.7297519	4.6139975	4.4977636
93	1.2821983	0	0
347	0.73578429	4.7943339	7.6616426
427	0.28372806	5.0197525	13.502232
103	1.6394181	0	0
358	1.1132331	4.8277922	8.3895302
236	1.6342576	4.3917532	1.2027035
292	0.049090661	4.6105685	4.3837533
59	1.5616949	0	0
125	1.705512	0	0
264	1.8328866	4.4789691	2.8784523
277	1.4639513	4.5552254	3.5633612
485	0.67399657	5.1635084	18.309132
353	1.0502568	4.8121958	8.0554018
75	1.8514532	0	0
232	0.34996662	4.3752089	0.92692852
462	1.5429099	5.1080322	16.369154
481	1.2482839	5.1536798	17.969391
333	0.56622916	4.7486444	6.7730975
28	0.41751388	0	0
324	2.0182872	4.3645716	6.5592728
244	0.85175288	4.425488	1.7109241
455	0.62527144	5.0919914	15.786146
45	1.561179	0	0
353	0.66250151	4.8099165	8.0553579
456	1.5318069	5.0948038	15.86864
466	2.0854969	5.11062	16.724306
218	1.8377978	0	0
382	0.30363378	4.8960023	10.066582
320	1.0229955	4.7062488	5.9837003
257	1.0690632	4.4798803	2.4662795
307	0.42288232	4.6633401	5.2261043
380	0.44403282	4.8925614	9.9223957
273	1.0162195	4.5408421	3.3458381
347	0.97075242	4.7940173	7.6616797
151	1.5911624	0	0
160	0.42541784	0	0
340	1.5118943	4.7700944	7.2121663
378	0.68916434	4.885849	9.77876
191	0.13964009	0	0
157	0.017809805	0	0
176	1.3191165	0	0
146	0.39175805	0	0
85	1.7071626	0	0
203	0.24759918	0	0
314	1.276118	4.6868191	5.630393
252	1.5440524	4.4572277	2.1826806
208	2.0772898	4.9671016	0.49755669
338	1.9139993	4.6721258	7.1695976
487	0.092016853	5.1699119	18.478979
277	0.25881541	4.5553942	3.5634193
391	0.18670748	4.9210825	10.725673
355	0.80343872	4.8177605	8.1885242
424	0.77261859	5.0113363	13.263671
60	0.87507778	0	0
246	0.20350577	4.4351492	1.8317084
453	1.5265776	5.0862288	15.619925
361	1.1656419	4.8351154	8.5926199
313	0.10184999	4.6844864	5.572053
23	1.2148548	0	0
319	1.5593772	4.7023888	5.9246187
56	1.887728	0	0
218	1.6639259	0	0
176	1.6857145	0	0
336	0.5259831	4.757237	6.9599271
45	0.52815044	0	0
92	1.6030723	0	0
499	0.40635639	5.1975002	19.501869
462	1.9304245	5.0120101	16.452272
332	0.22411959	4.7450924	6.7110052
97	1.4628227	0	0
236	1.828141	4.3600912	1.2075415
282	0.20712629	4.5748715	3.8354774
257	0.86600339	4.4799976	2.4663033
135	1.0043513	0	0
345	0.1641326	4.7858434	7.5322862
278	0.87439269	4.5587268	3.6177173
255	1.0789756	4.4714904	2.353785
